net_name,test_point,pin,expected_ohms,lower_bound,upper_bound,contributors
VOUT,C106,0,5882,4706,7059,"U2_2, U4_2, U6_2, U8_2, U10_2, U12_2, U14_2, U16_2, U18_2, U20_2, U22_2, U24_2, U26_2, U28_2, U30_2, U32_2, U34_2, L36, L38, L40, L42, L44, L46, L48, L50, L52, L54, L56, L58, L60, L62, L64, L66, L68"
VIN,C102,0,0,0,0,"U1_VIN, U3_VIN, U5_VIN, U7_VIN, U9_VIN, U11_VIN, U13_VIN, U15_VIN, U17_VIN, U19_VIN, U21_VIN, U23_VIN, U25_VIN, U27_VIN, U29_VIN, U31_VIN, U33_VIN"
