Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    BANK13_LVDS14_P, Signal Layers Only, 42.3647mm
    BANK13_LVDS15_N, Signal Layers Only, 23.0215mm
    BANK13_LVDS15_P, Signal Layers Only, 23.5298mm
    BANK13_LVDS16_N, Signal Layers Only, 24.285mm
    BANK13_LVDS16_P, Signal Layers Only, 24.8114mm
    BANK13_LVDS17_N, Signal Layers Only, 26.0973mm
    BANK13_LVDS17_P, Signal Layers Only, 26.0772mm
    BANK13_LVDS18_N, Signal Layers Only, 30.2229mm
    BANK13_LVDS18_P, Signal Layers Only, 31.0499mm
    BANK13_LVDS19_N, Signal Layers Only, 45.8711mm
    BANK13_LVDS19_P, Signal Layers Only, 46.2878mm
    BANK13_LVDS20_N, Signal Layers Only, 36.8787mm
    BANK13_LVDS20_P, Signal Layers Only, 37.1907mm
    BANK13_LVDS21_N, Signal Layers Only, 35.5229mm
    BANK13_LVDS21_P, Signal Layers Only, 34.456mm
    BANK13_LVDS22_N, Signal Layers Only, 41.9567mm
    BANK13_LVDS22_P, Signal Layers Only, 42.8233mm
    BANK13_LVDS23_N, Signal Layers Only, 20.5255mm
    BANK13_LVDS23_P, Signal Layers Only, 21.4268mm
    BANK13_LVDS24_N, Signal Layers Only, 33.3537mm
    BANK13_LVDS24_P, Signal Layers Only, 32.4523mm
    BANK33_IO_00, Signal Layers Only, 25.8929mm
    BANK33_IO_25, Signal Layers Only, 22.8907mm
    BANK33_LVDS01_N, Signal Layers Only, 18.5361mm
    BANK33_LVDS01_P, Signal Layers Only, 18.9283mm
    BANK33_LVDS02_N, Signal Layers Only, 17.8538mm
    BANK33_LVDS02_P, Signal Layers Only, 18.5201mm
    BANK33_LVDS03_N, Signal Layers Only, 17.4908mm
    BANK33_LVDS03_P, Signal Layers Only, 16.6495mm
    BANK33_LVDS04_N, Signal Layers Only, 21.5099mm
    BANK33_LVDS04_P, Signal Layers Only, 22.202mm
    BANK33_LVDS05_N, Signal Layers Only, 16.3972mm
    BANK33_LVDS05_P, Signal Layers Only, 17.2049mm
    BANK33_LVDS06_N, Signal Layers Only, 16.5454mm
    BANK33_LVDS06_P, Signal Layers Only, 16.5454mm
    BANK33_LVDS07_N, Signal Layers Only, 23.8769mm
    BANK33_LVDS07_P, Signal Layers Only, 24.7655mm
    BANK33_LVDS08_N, Signal Layers Only, 20.168mm
    BANK33_LVDS08_P, Signal Layers Only, 21.1291mm
    BANK33_LVDS09_N, Signal Layers Only, 12.8482mm
    BANK33_LVDS09_P, Signal Layers Only, 13.1483mm
    BANK33_LVDS10_N, Signal Layers Only, 21.2468mm
    BANK33_LVDS10_P, Signal Layers Only, 21.2723mm
    BANK33_LVDS11_N, Signal Layers Only, 20.4376mm
    BANK33_LVDS11_P, Signal Layers Only, 21.3988mm
    BANK33_LVDS12/SYSCLK2_N, Signal Layers Only, 19.6891mm
    BANK33_LVDS12/SYSCLK2_P, Signal Layers Only, 20.6206mm
    BANK33_LVDS13_N, Signal Layers Only, 38.0406mm
    BANK33_LVDS13_P, Signal Layers Only, 38.3974mm
    BANK33_LVDS14_N, Signal Layers Only, 12.936mm
    BANK33_LVDS14_P, Signal Layers Only, 13.8559mm
    BANK33_LVDS15_N, Signal Layers Only, 24.4701mm
    BANK33_LVDS15_P, Signal Layers Only, 24.9555mm
    BANK33_LVDS16_N, Signal Layers Only, 16.7462mm
    BANK33_LVDS16_P, Signal Layers Only, 17.6446mm
    BANK33_LVDS17_N, Signal Layers Only, 19.9477mm
    BANK33_LVDS17_P, Signal Layers Only, 21.2083mm
    BANK33_LVDS18_N, Signal Layers Only, 21.4812mm
    BANK33_LVDS18_P, Signal Layers Only, 21.9917mm
    BANK33_LVDS19_N, Signal Layers Only, 48.7505mm
    BANK33_LVDS19_P, Signal Layers Only, 48.969mm
    BANK33_LVDS20_N, Signal Layers Only, 45.113mm
    BANK33_LVDS20_P, Signal Layers Only, 46.1808mm
    BANK33_LVDS21_N, Signal Layers Only, 37.3691mm
    BANK33_LVDS21_P, Signal Layers Only, 37.7132mm
    BANK33_LVDS22_N, Signal Layers Only, 36.4708mm
    BANK33_LVDS22_P, Signal Layers Only, 37.3819mm
    BANK33_LVDS23_N, Signal Layers Only, 12.5275mm
    BANK33_LVDS23_P, Signal Layers Only, 13.46mm
    BANK33_LVDS24_N, Signal Layers Only, 24.0406mm
    BANK33_LVDS24_P, Signal Layers Only, 23.0945mm
    BANK34_IO_00, Signal Layers Only, 62.1652mm
    BANK34_IO_25, Signal Layers Only, 91.7646mm
    BANK34_LVDS01_N, Signal Layers Only, 63.2508mm
    BANK34_LVDS01_P, Signal Layers Only, 62.7735mm
    BANK34_LVDS02_N, Signal Layers Only, 59.2507mm
    BANK34_LVDS02_P, Signal Layers Only, 59.2938mm
    BANK34_LVDS03_N, Signal Layers Only, 52.5899mm
    BANK34_LVDS03_P/PUDC, Signal Layers Only, 52.3056mm
    BANK34_LVDS04_N, Signal Layers Only, 68.6433mm
    BANK34_LVDS04_P, Signal Layers Only, 68.2644mm
    BANK34_LVDS05_N, Signal Layers Only, 78.9771mm
    BANK34_LVDS05_P, Signal Layers Only, 79.4982mm
    BANK34_LVDS06_N, Signal Layers Only, 67.9612mm
    BANK34_LVDS06_P, Signal Layers Only, 68.6509mm
    BANK34_LVDS07_N, Signal Layers Only, 61.3652mm
    BANK34_LVDS07_P, Signal Layers Only, 60.3057mm
    BANK34_LVDS08_N, Signal Layers Only, 54.3794mm
    BANK34_LVDS08_P, Signal Layers Only, 54.4735mm
    BANK34_LVDS09_N, Signal Layers Only, 48.4141mm
    BANK34_LVDS09_P, Signal Layers Only, 47.7416mm
    BANK34_LVDS10_N, Signal Layers Only, 63.9831mm
    BANK34_LVDS10_P, Signal Layers Only, 64.758mm
    BANK34_LVDS11_N, Signal Layers Only, 59.9176mm
    BANK34_LVDS11_P, Signal Layers Only, 60.1519mm
    BANK34_LVDS12/SYSCLK3_N, Signal Layers Only, 58.4849mm
    BANK34_LVDS12/SYSCLK3_P, Signal Layers Only, 58.7227mm
    BANK34_LVDS13_N, Signal Layers Only, 62.6644mm
    BANK34_LVDS13_P, Signal Layers Only, 63.2082mm
    BANK34_LVDS14_N, Signal Layers Only, 75.5881mm
    BANK34_LVDS14_P, Signal Layers Only, 76.2034mm
    BANK34_LVDS15_N, Signal Layers Only, 69.9117mm
    BANK34_LVDS15_P, Signal Layers Only, 69.9215mm
    BANK34_LVDS16_N, Signal Layers Only, 62.638mm
    BANK34_LVDS16_P, Signal Layers Only, 62.2714mm
    BANK34_LVDS17_N, Signal Layers Only, 71.4729mm
    BANK34_LVDS17_P, Signal Layers Only, 72.512mm
    BANK34_LVDS18_N, Signal Layers Only, 78.537mm
    BANK34_LVDS18_P, Signal Layers Only, 79.6581mm
    BANK34_LVDS19_N, Signal Layers Only, 97.4711mm
    BANK34_LVDS19_P, Signal Layers Only, 97.9291mm
    BANK34_LVDS20_N, Signal Layers Only, 89.523mm
    BANK34_LVDS20_P, Signal Layers Only, 90.4567mm
    BANK34_LVDS21_N, Signal Layers Only, 88.429mm
    BANK34_LVDS21_P, Signal Layers Only, 88.8617mm
    BANK34_LVDS22_N, Signal Layers Only, 71.8037mm
    BANK34_LVDS22_P, Signal Layers Only, 70.8412mm
    BANK34_LVDS23_N, Signal Layers Only, 71.8008mm
    BANK34_LVDS23_P, Signal Layers Only, 71.3751mm
    BANK34_LVDS24_N, Signal Layers Only, 92.2557mm
    BANK34_LVDS24_P, Signal Layers Only, 91.8267mm
    BANK35_IO_00, Signal Layers Only, 48.7445mm
    BANK35_IO_25, Signal Layers Only, 48.9844mm
    BANK35_LVDS04_N, Signal Layers Only, 60.2547mm
    BANK35_LVDS04_P, Signal Layers Only, 60.2434mm
    BANK35_LVDS06_N/VREF, Signal Layers Only, 48.0865mm
    BANK35_LVDS06_P, Signal Layers Only, 48.9045mm
    BANK35_LVDS11_N, Signal Layers Only, 42.1581mm
    BANK35_LVDS11_P, Signal Layers Only, 42.228mm
    BANK35_LVDS12/SYSCLK0_N, Signal Layers Only, 54.9096mm
    BANK35_LVDS12/SYSCLK0_P, Signal Layers Only, 55.7873mm
    BANK35_LVDS13_N, Signal Layers Only, 40.0702mm
    BANK35_LVDS13_P, Signal Layers Only, 39.0321mm
    BANK35_LVDS16_N, Signal Layers Only, 42.8773mm
    BANK35_LVDS16_P, Signal Layers Only, 43.9151mm
    BANK35_LVDS19_N/VREF, Signal Layers Only, 48.1589mm
    BANK35_LVDS19_P, Signal Layers Only, 48.3081mm
    BANK35_LVDS23_N, Signal Layers Only, 48.0474mm
    BANK35_LVDS23_P, Signal Layers Only, 48.5505mm
    CARRIER_SRST_B, Signal Layers Only, 62.4126mm
    CFGBVS, Signal Layers Only, 15.5169mm
    CMP_IN1, Signal Layers Only, 31.254mm
    CONSOLE_UART_RX, Signal Layers Only, 67.1822mm
    CONSOLE_UART_TX, Signal Layers Only, 66.0095mm
    COOLER_EN, Signal Layers Only, 18.6425mm
    COOLER_SW, Signal Layers Only, 56.4343mm
    DAC_LD, Signal Layers Only, 108.7161mm
    DAC_OUT1, Signal Layers Only, 90.1491mm
    DAC_OUT10, Signal Layers Only, 53.5541mm
    DAC_OUT2, Signal Layers Only, 77.6726mm
    DAC_OUT3, Signal Layers Only, 33.2173mm
    DAC_OUT4, Signal Layers Only, 29.4316mm
    DAC_OUT5, Signal Layers Only, 22.9692mm
    DAC_OUT6, Signal Layers Only, 34.2806mm
    DAC_OUT7, Signal Layers Only, 37.3672mm
    DAC_OUT8, Signal Layers Only, 42.321mm
    DAC_OUT9, Signal Layers Only, 43.6048mm
    DAC_RST, Signal Layers Only, 21.3028mm
